"step","mode","http","code","response","error","elapsed_ms","preview"
"baseline_get","atport-status","200","","","","0","<?xml version=""1.0"" encoding=""UTF-8""?><response><enable>1</enable></response>"
"capki_upload","frontend_exact","0","","","phase=response | Exception calling ""GetResponse"" with ""0"" argument(s): ""The underlying connection was closed: A connection that was expected to be kept alive was closed by the server."" | inner: The underlying connection was closed: A connection that was expected to be kept alive was closed by the server.","49",""
"capki_upload","csrf_plus_header","0","","","phase=response | Exception calling ""GetResponse"" with ""0"" argument(s): ""The underlying connection was closed: A connection that was expected to be kept alive was closed by the server."" | inner: The underlying connection was closed: A connection that was expected to be kept alive was closed by the server.","42",""
"capki_upload","header_only","0","","","phase=response | Exception calling ""GetResponse"" with ""0"" argument(s): ""The underlying connection was closed: A connection that was expected to be kept alive was closed by the server."" | inner: The underlying connection was closed: A connection that was expected to be kept alive was closed by the server.","45",""
"capki_upload","csrf_only_refresh","0","","","phase=response | Exception calling ""GetResponse"" with ""0"" argument(s): ""The underlying connection was closed: A connection that was expected to be kept alive was closed by the server."" | inner: The underlying connection was closed: A connection that was expected to be kept alive was closed by the server.","46",""
